Date,raw,rm,w7
2016-06-22,-0.002065067776131677,-0.0018353384367019903,-0.0024240646221310403
2016-06-23,-0.004566804985245806,-0.004687882644070279,-0.00453156327177531
2016-06-24,0.008263232121728229,0.009915157053621247,0.008759071724792478
2016-06-27,0.006254398668976241,0.008360732829711998,0.007972698294241397
2016-06-28,-0.0024857441870616056,-0.003523436735423562,-0.003252655182919736
2016-06-29,-0.004651832415268235,-0.005551331585952795,-0.0038544167376853558
2016-06-30,0.001207108764202885,0.0017056738177431848,0.0010444474649741059
2016-07-01,-0.0005633152919490358,-0.000565815144137933,-0.0011759714055556531
2016-07-05,0.007196642440481401,0.008609089466823884,0.00291642276941535
2016-07-06,-0.0014109769069831442,-0.0017340783931640476,-0.0002539383190003991
2016-07-07,-0.0035974527603568306,-0.0037904382372008806,-0.004516288041168731
2016-07-08,-0.000334097891667823,-0.0011616416515069644,-0.001153251827713417
2016-07-11,0.0006773567314286496,0.0002194677598308001,-0.00022525347194682122
2016-07-12,-0.0039048462238538352,-0.004810222292660225,-0.0030111967011505585
2016-07-13,0.0014987842549679742,0.00184996743823228,0.0029311957795308857
2016-07-14,-0.0021339115966066444,-0.0023568986027437465,-0.0025161472363089037
2016-07-15,-0.0007542606962526624,-0.0007115740676442865,-0.0009691755928899932
2016-07-18,-0.00013322033435045507,-0.0004918269513842917,-0.0005770090341454805
2016-07-19,0.00439439782919018,0.004571785463677097,0.003413336579703035
2016-07-20,-0.002750131215020596,-0.0034697756652370664,-0.004124396046643797
2016-07-21,-0.003905449100648056,-0.0034847631145707896,-0.0005888844390792054
2016-07-22,0.0017835124042078175,0.001602681666302655,0.0005924305606799225
2016-07-25,0.00040086316227610943,-3.1260552760820794e-05,-0.00042639407911623784
2016-07-26,0.002016176649296582,0.00011285715849960711,0.003600658119343499
2016-07-27,-0.0037161221019304806,-0.00447062625939471,-0.003061139605495591
2016-07-28,0.00011162168744879217,-0.0003076293438725168,-0.00031624639079840477
2016-07-29,0.0009923767137005196,0.0015225653167064178,0.002089076177689458
2016-08-01,-0.00026766737015026127,-0.00013628968434719759,-0.0013484523063633418
2016-08-02,-9.212648149691083e-05,0.00046431494439300435,-0.0002750629743022377
2016-08-03,-0.0040488836387638566,-0.00456467328081499,-0.0034777384602104476
2016-08-04,0.0016287666428258453,0.0010574561659907086,0.0007332396624515533
2016-08-05,-0.0065760136703907675,-0.00677220924505222,-0.004920683347296134
2016-08-08,-0.00047372992773225125,-0.00029441122609035223,0.0006357648697184115
2016-08-09,0.00038700668071104934,0.0003378283479477874,0.0002293069210416617
2016-08-10,0.0009221457062894509,0.001893842825240507,0.0024113642775677544
2016-08-11,-0.0015511362231203538,-0.0016063039357648555,-0.000914833113064607
2016-08-12,0.0007003352520083831,0.0005634857380794709,0.0004903018030229064
2016-08-15,-0.003075354830694209,-0.003598559482867492,-0.0005584083140335534
2016-08-16,-0.0031759005780333627,-0.003305485839933984,-0.0022334289796208003
2016-08-17,-0.0012243813931350847,-0.0008299860299028132,-0.0005142730123854508
2016-08-18,0.0017483115565473987,0.0013639586532263191,0.002566754013188261
2016-08-19,0.0014526973007661914,0.00022734403211789576,0.00318789503323505
2016-08-22,-0.0005764840098806315,-0.0007189480937241123,-0.0013180649109399282
2016-08-23,-0.0012126649390041097,-0.0020494584113930924,-0.00034839368261133867
2016-08-24,4.03188244116529e-05,0.0009168802014248657,-0.00114798360562078
2016-08-25,0.0005077468664420833,0.00010488137816892458,0.001429801881293258
